공고일자,공고명,연도,수요기관,업무구분,품목대분류,유찰,응찰수,무응찰,입찰진행상태값,공고상태값,제조물품제한여부,긴급공고여부
20240607,24~25-F-학습포털체계 교체,2024,국방부 국군재정관리단,물품(내자),정보통신,False,2.0,False,개찰완료,등록공고,,Y
20240611,(246027-G) 24년 OO부대 주전산기/창고자동화체계 교체(리스자산),2024,국방부 국군재정관리단,물품(내자),정보통신,False,2.0,False,낙찰자선정,등록공고,,Y
20240610,(247030-H)사이버 교육용 SW 구매,2024,국방부 국군재정관리단,물품(내자),정보통신,False,3.0,False,낙찰자선정,등록공고,,Y
20240610,24-F-공군-대외기관 간 자료연동체계 교체,2024,국방부 국군재정관리단,물품(내자),정보통신,False,3.0,False,개찰완료,등록공고,,Y
20240612,24-F-국방 5G 특화망 무선네트워크 시범사업(리스자산),2024,국방부 국군재정관리단,물품(내자),정보통신,False,3.0,False,개찰완료,등록공고,,Y
20240613,전장이동추적 단말기 2차 구매 사업,2024,국방부,물품(내자),국방·치안·보안,True,0.0,True,유찰,등록공고,N,Y
20240614,(247027-H)전군통합보안관제체계(SIEM)확대(리스자산),2024,국방부 국군재정관리단,물품(내자),정보통신,True,2.0,False,유찰,등록공고,,Y
20240620,24-N-사이버방호체계 도입(리스자산),2024,국방부 국군재정관리단,물품(내자),정보통신,False,5.0,False,개찰완료,등록공고,,Y
20240621,24-N-VR기반 대공/대함 모의사격 훈련체계 교체,2024,국방부 국군재정관리단,물품(내자),정보통신,False,2.0,False,개찰완료,등록공고,,Y
20240627,(246021-G) 24년 VoIP 교환기 교체사업(리스자산),2024,국방부 국군재정관리단,물품(내자),정보통신,False,2.0,False,낙찰자선정,재공고,,Y
20240628,24-F-네트워크 사이버방호체계 교체(리스자산),2024,국방부 국군재정관리단,물품(내자),정보통신,False,5.0,False,개찰완료,등록공고,,Y
20240702,24년 과학화전투훈련단 고도화(교체) 사업,2024,육군 과학화 전투훈련단,물품(내자),정보통신,True,0.0,True,유찰,등록공고,,Y
20240702,(24F033-B) 사이버교육체계 교체사업(리스자산),2024,국방부 국군재정관리단,물품(내자),정보통신,True,0.0,True,유찰,등록공고,,Y
20240717,(246030-G) 24년 1군단 영상통합공유체계 도입 사업,2024,국방부 국군재정관리단,물품(내자),정보통신,False,2.0,False,개찰완료,변경공고,,Y
20240704,(246187-F) 데스크톱PC 도입사업(리스자산),2024,국방부 국군재정관리단,물품(내자),정보통신,False,6.0,False,개찰완료,등록공고,,Y
20240705,(247031-H)연동종합관리체계노후서버교체(리스자산),2024,국방부 국군재정관리단,물품(내자),정보통신,False,2.0,False,낙찰자선정,등록공고,,Y
20240705,(247027-H)전군통합보안관제체계(SIEM)확대(리스자산),2024,국방부 국군재정관리단,물품(내자),정보통신,False,2.0,False,낙찰자선정,재공고,,Y
20240708,(246033-B) 24년 영상통합공유체계 구축사업,2024,국방부 국군재정관리단,물품(내자),인쇄·영상,False,2.0,False,개찰완료,등록공고,,Y
20240708,24~25-M-AI 기반 공중무인체계 영상 통합분석 기술 실증,2024,국방부 국군재정관리단,물품(내자),정보통신,False,4.0,False,개찰완료,등록공고,,Y
20240710,24-N-디지털 교육환경 구축,2024,국방부 국군재정관리단,물품(내자),정보통신,False,3.0,False,개찰완료,등록공고,,Y
20240711,전장이동추적 단말기 2차 구매 사업,2024,국방부,물품(내자),국방·치안·보안,True,0.0,True,유찰,재공고,N,Y
20240711,24-M-출입통제체계 교체(리스자산),2024,국방부 국군재정관리단,물품(내자),국방·치안·보안,False,3.0,False,개찰완료,등록공고,,Y
20240711,24-N-해사종합정보체계 서버 교체(리스자산),2024,국방부 국군재정관리단,물품(내자),정보통신,False,3.0,False,개찰완료,등록공고,,Y
20240715,24-F-독립대대급 부대 지능형 통합감시 기반체계 구축사업(리스자산),2024,국방부 국군재정관리단,물품(내자),정보통신,True,2.0,False,유찰,등록공고,,Y
20240722,24-N-브리핑/화상회의체계 도입(리스자산),2024,국방부 국군재정관리단,물품(내자),인쇄·영상,False,2.0,False,개찰완료,등록공고,,Y
20240723,24-F-주기장경계시스템 기반체계 교체사업(리스자산),2024,국방부 국군재정관리단,물품(내자),정보통신,True,2.0,False,유찰,등록공고,,Y
20240723,24-F-기지 네트워크 개선(리스자산),2024,국방부 국군재정관리단,물품(내자),정보통신,False,2.0,False,개찰완료,등록공고,,Y
20240726,(24F033-B) 사이버교육체계 교체사업(리스자산),2024,국방부 국군재정관리단,물품(내자),정보통신,True,0.0,True,유찰,재공고,,Y
20240726,24-F-AI 기반 ACMI 수집분석체계 구축(리스자산),2024,국방부 국군재정관리단,물품(내자),정보통신,True,3.0,False,유찰,등록공고,,Y
20240729,(246200-C) 24년 대강당 노후 음향장비 교체,2024,국방부 국군재정관리단,물품(내자),가정용품,False,2.0,False,낙찰자선정,등록공고,,Y
20240729,24-N-함정/항공기용 위치식별체계 교체(리스자산),2024,국방부 국군재정관리단,물품(내자),정보통신,False,2.0,False,개찰완료,등록공고,,Y
20240814,24-F-PC(데스크톱) 도입사업(리스자산),2024,국방부 국군재정관리단,물품(내자),정보통신,False,5.0,False,개찰완료,변경공고,,Y
20240801,24-F-브리핑시스템 도입(24-2차)(리스자산),2024,국방부 국군재정관리단,물품(내자),인쇄·영상,False,3.0,False,개찰완료,등록공고,,Y
20240805,(247232-F) 전술복 등 6종 제조,2024,국군제9965부대,물품(내자),피복·개인용품,True,2.0,False,유찰,등록공고,,Y
20240807,(246037-B1) 선행학습지원 기반체계 교체,2024,국방부 국군재정관리단,물품(내자),사무기기,True,0.0,True,유찰,등록공고,,Y
20240808,24-F-독립대대급 부대 지능형 통합감시 기반체계 구축사업(리스자산),2024,국방부 국군재정관리단,물품(내자),정보통신,False,2.0,False,개찰완료,재공고,,N
20240809,(24F033-B) 사이버교육체계 교체사업(리스자산),2024,국방부 국군재정관리단,물품(내자),정보통신,False,2.0,False,개찰완료,재공고,,Y
20240813,(246317-E) 25년 생도 운동복 제조,2024,국방부 국군재정관리단,물품(내자),피복·개인용품,False,2.0,False,낙찰자선정,등록공고,,Y
20240813,24-F-주기장경계시스템 기반체계 교체(리스자산),2024,국방부 국군재정관리단,물품(내자),정보통신,False,2.0,False,개찰완료,등록공고,,Y
20240819,(246043-B1) 스펙트럼 측정/분석 장비 구매(개조)사업,2024,국방부 국군재정관리단,물품(내자),실험·측정기기,True,0.0,True,유찰,등록공고,,Y
20240828,24-F-AI 기반 ACMI 수집분석체계 구축(리스자산),2024,국방부 국군재정관리단,물품(내자),정보통신,False,3.0,False,개찰완료,등록공고,,Y
20240903,(246321-F) 생도 활동복 제조,2024,육군3사관학교,물품(내자),피복·개인용품,False,2.0,False,개찰완료,등록공고,,Y
20240904,"(246275-C) 특정지역 감시조 피복, 등산복류 구매",2024,국방부 국군재정관리단,물품(내자),피복·개인용품,True,0.0,True,유찰,등록공고,,Y
20240906,(246043-B1) 스펙트럼 측정/분석 장비 구매(개조)사업,2024,국방부 국군재정관리단,물품(내자),실험·측정기기,True,0.0,True,유찰,재공고,,Y
20240909,24-F-사이버보안 관제체계 교체/구축(리스자산),2024,국방부 국군재정관리단,물품(내자),정보통신,False,6.0,False,개찰완료,등록공고,,Y
20240910,24-N-학술용 인터넷망 정보보호체계 구축,2024,국방부 국군재정관리단,물품(내자),정보통신,False,2.0,False,개찰완료,등록공고,,Y
20240910,(247232-F) 전술복 등 6종 제조,2024,국군제9965부대,물품(내자),피복·개인용품,True,0.0,True,유찰,재공고,,Y
20240912,((24F060-G) 과학화출입통제체계 구축(리스자산),2024,국방부 국군재정관리단,물품(내자),국방·치안·보안,False,2.0,False,낙찰자선정,등록공고,,Y
20240913,24-N-데스크톱 도입(리스자산),2024,국방부 국군재정관리단,물품(내자),정보통신,False,2.0,False,개찰완료,등록공고,,Y
20240913,24-D-워게임체계 임차(리스자산),2024,국방부 국군재정관리단,물품(내자),정보통신,False,2.0,False,개찰완료,등록공고,,Y
20240925,(246358-F)155밀리 추진장약 팔레트 제조,2024,육군탄약지원사령부,물품(내자),운반·포장,False,4.0,False,개찰완료,등록공고,,Y
